This is the data file for OSRIC™.  This consists of creatures and treasure from the core rulebook.
You can use this with some of the tools here that allow for data files to be input. You may only want to use 
this file if you want to customize your creations. You may have no electrum in your land or maybe you want to 
remove the chance of dinosaurs from appearing. You may want to add custom monsters and items. Anything is possible.

This is published under the Open Game License Version 1.0a (which can be found at http://www.wizardawn.com/rpg/lic_ogl.html)
and is in compliance with the OSRIC™ Open License (which can be found at http://www.wizardawn.com/rpg/lic_osric.html).

"OSRIC", "Osric" and "O.S.R.I.C." are trademarks of Matthew Finch and Stuart Marshall

Below are the codes used for the creatures' terrain types...

DG = Dungeon
PF = Forest
PH = Hills
PM = Mountains
PP = Plains
PS = Swamp
PD = Desert
FW = Freshwater
SW = Sea
CF = Snowy Forest
CH = Snowy Hills
CM = Snowy Mountains
CP = Snowy Plains
TF = Jungle/Tropics Forest
TH = Jungle/Tropics Hills
TM = Jungle/Tropics Mountains
TS = Jungle/Tropics Swamp

--BEGIN--
ACHAIERAI	PFXPHXPMXPSXTFXTHXTMXTS	14	1	Freq: Very Rare; #ENC: 1d8; SIZE: Large (16 ft tall); MOVE: 180 ft; AC: 8 or -1 (see page); HD: 40 hp (body), 15 hp (each leg); ATK: 3; DMG: 1d8/1d8/1d10; SA: None; SD: Poison cloud; MR: 35%; LAIR: None; INT: Average; AL: CE; XP: 2,750; TRS: 1d10x1,000 cp (5%), 1d12x1,000 sp (25%), 1d6x1,000 ep (25%), 1d8x1,000 gp (25%), 1d12 gems (15%), 1d8 jewelry (10%) and 3 magic items and 1 scroll (25%).; BOOK: OSRIC-259
DRAGON, GOLD	CFXCHXCMXCPXDGXFWXPDXPFXPHXPMXPPXPSXSWXTFXTHXTMXTS	12	1	Freq: Very Rare; #ENC: 1d3; SIZE: Large (54 ft long); MOVE: 120 ft, flying 300 ft (AA: level II); AC: -2; HD: 10 to 12; ATK: 3; DMG: 1d8/1d8/6d6; SA: See Page; SD: See Page; MR: Standard; LAIR: 65%; INT: Genius; AL: LG; XP: 3,000+13/hp or 3,700+14/hp or 5,150+16/hp; TRS: (For a typical individual) 5d6x1,000 cp (25%), 1d100x1,000 sp (40%), 1d4x10,000 ep (40%), 2d6x10,000 gp (55%), 10d10x100 pp (25%), 7d20 gems (50%), 1d6x10 jewelry (50%), 4 magic items plus 1 potion and 1 scroll (15%), 2d4 potions (40%), 1d4 scrolls (50%).; BOOK: OSRIC-210
DRAGON, GREEN	CFXCHXDGXFWXPFXPHXPSXSWXTFXTHXTS	9	3	Freq: Rare; #ENC: 1d4; SIZE: Large (36 ft long); MOVE: 90 ft, flying 240 ft (AA: level II); AC: 2; HD: 7 to 9; ATK: 3; DMG: 1d6/1d6/2d10; SA: See Page; SD: See Page; MR: Standard; LAIR: 40%; INT: Average to very; AL: LE; XP: 1,065+8/hp or 1,650+10/hp or 2,400+12/hp; TRS: (For a typical individual) 5d6x1,000 cp (25%), 1d100x1,000 sp (40%), 1d4x10,000 ep (40%), 1d6x10,000 gp (55%), 5d10x100 pp (25%), 1d100 gems (50%), 1d4x10 jewelry (50%), 4 magic items plus 1 potion and 1 scroll (15%), 2d4 potions (40%), 1d4 scrolls (50%).; BOOK: OSRIC-211
DRAGON, RED	DGXCFXCHXCMXFWXPFXPHXPMXSWXTFXTM	11	3	Freq: Rare; #ENC: 1d4; SIZE: Large (48 ft long); MOVE: 90 ft, flying 240 ft (AA: level II); AC: -1; HD: 9 to 11; ATK: 3; DMG: 1d8/1d8/3d10; SA: See Page; SD: See Page; MR: Standard; LAIR: 60%; INT: Exceptional; AL: CE; XP: 2,400+12/hp or 3,000+13/hp or 3,700+14/hp; TRS: (For a typical individual) 5d6x1,000 cp (25%), 1d100x1,000 sp (40%), 1d4x10,000 ep (40%), 1d6x10,000 gp (55%), 5d10x100 pp (25%), 1d100 gems (50%), 1d4x10 jewelry (50%), 4 magic items plus 1 potion and 1 scroll (15%), 2d4 potions (40%), 1d4 scrolls (50%).; BOOK: OSRIC-211
DRAGON, SILVER	CMXDGXFWXPMXSWXTM	11	1	Freq: Very Rare; #ENC: 1d4; SIZE: Large (48 ft long); MOVE: 90 ft, flying 240 ft (AA: level II); AC: -1; HD: 9 to 11; ATK: 3; DMG: 1d6/1d6/5d6; SA: See Page; SD: See Page; MR: Standard; LAIR: 55%; INT: Exceptional; AL: LG; XP: 2,400+12/hp or 3,000+13/hp or 3,700+14/hp; TRS: (For a typical individual) 5d6x1,000 cp (25%), 1d100x1,000 sp (40%), 1d4x10,000 ep (40%), 1d6x10,000 gp (55%), 5d10x100 pp (25%), 1d100 gems (50%), 1d4x10 jewelry (50%), 4 magic items plus 1 potion and 1 scroll (15%), 1d4 scrolls (50%).; BOOK: OSRIC-212
DRAGON, WHITE	CFXCHXCMXCPXDGXFWXPDXPS	7	5	Freq: Uncommon; #ENC: 1d4; SIZE: Large (24 ft long); MOVE: 120 ft, flying 300 ft (AA: level II); AC: 3; HD: 5 to 7; ATK: 3; DMG: 1d4/1d4/2d8; SA: See Page; SD: See Page; MR: Standard; LAIR: 30%; INT: Low; AL: CE; XP: 440+4/hp or 660+6/hp or 1,065+8/hp; TRS: (For a typical individual) 1d12x1,000 cp (15%), 1d20x1,000 sp (25%), 1d6x1,000 ep (25%), 1d8x1,000 gp (25%), 1d12 gems (15%), 1d8 jewelry (10%), 3 magic items plus 2d4 potions and 1 scroll (25%).; BOOK: OSRIC-212
DRETCH	DG	5	13	Freq: Common; #ENC: 2d4 or 5d4 (in the Abyss); SIZE: Small; MOVE: 90 ft; AC: 2; HD: 4; ATK: 2 claws/1 bite; DMG: 1d4/1d4/1d4+1; SA: See Page; SD: See Page; MR: 30%; LAIR: 15%; INT: Low; AL: CE; XP: 175+4/hp; TRS: Dretch are not intelligent enough to hoard treasure socially. Individually they will carry some coinage, as follows: 3d8 cp, 3d6 sp, 2d6 ep, and 2d4 gp.; BOOK: OSRIC-217
DRYAD	PF	3	1	Freq: Very Rare; #ENC: 1d6; SIZE: Medium; MOVE: 120 ft; AC: 10; HD: 2; ATK: 1; DMG: 1d2; SA: Charm; SD: See Page; MR: 50%; LAIR: 10%; INT: High; AL: N; XP: 30+10/hp; TRS: 2d4x100 gp (100%), 10d4 gems (50%).; BOOK: OSRIC-234
DUNKLEOSTEUS	FWXSW	11	13	Freq: Common; #ENC: 1d2; SIZE: Large; MOVE: 210 ft swimming; AC: 6; HD: 10; ATK: 1; DMG: 5d4; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 1,000+12/hp; TRS: None; BOOK: OSRIC-230
DWARF	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXTFXTHXTM	2	13	Freq: Common; #ENC: 40d10; SIZE: Small (4 ft tall); MOVE: 60 ft; AC: 4; HD: 1; ATK: 1; DMG: 1d8 or by weapon; SA: See Page; SD: Save at 4 levels higher (see page); MR: Save at 4 levels higher (see page); LAIR: 50%; INT: Very; AL: LG (N); XP: 30+1/hp; TRS: Individual 2d4x5 gp; lair 10d4x1,000 gp (50%), 1d20x100 pp (50%), 5d4 gems (30%), 1d4x20 gems (50%), 1d10 jewelry (25%), any 4 magic items (15%).; BOOK: OSRIC-194
EDMONTOSAURUS	TMXTHXTFXTS	13	5	Freq: Uncommon; #ENC: 2d12; SIZE: Large; MOVE: 150 ft; AC: 6; HD: 12; ATK: 1; DMG: 1d12; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 1,200+16/hp; TRS: None; BOOK: OSRIC-228
EEL, GIANT ELECTRIC	SW	3	3	Freq: Rare; #ENC: 1d4; SIZE: Medium; MOVE: 120 ft swim; AC: 9; HD: 2; ATK: 1; DMG: 1d4; SA: Electricity; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 40+2/hp; TRS: None; BOOK: OSRIC-250
EEL, GIANT MORAY	FWXSW	6	5	Freq: Uncommon; #ENC: 1d4; SIZE: Large; MOVE: 90 ft swim; AC: 6; HD: 5; ATK: 1; DMG: 3d6; SA: None; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 110+4/hp; TRS: None; BOOK: OSRIC-250
EEL, GIANT WEED	FWXSW	0	1	Freq: Very Rare; #ENC: 1d4; SIZE: Small; MOVE: 150 ft swim; AC: 8; HD: 1d6 hp; ATK: 1; DMG: 1; SA: Poison; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 30+1/hp; TRS: In lair: 1d4x1,000 cp (30%), 1d10x1,000 sp (50%), 1d3x1,000 ep (20%), 1d8x1,000 gp (45%), 2d8x100 pp (60%), 6d6 gems (50%), 2d6 jewelry 50%.; BOOK: OSRIC-250
EKIVU (FLY DEMON)	DG	9	13	Freq: Common; #ENC: 1d3 or 1d6 (in the Abyss); SIZE: Medium; MOVE: 50 ft, 210 ft flying (AA: level III); AC: -1; HD: 7+2; ATK: 2 claws/1 bite; DMG: 2d4/2d4/1d4; SA: See Page; SD: See Page; MR: 40%; LAIR: 5%; INT: Average; AL: CE; XP: 1,275+10/hp; TRS: If encountered in their lair, they will possess a hoard of 1d8x1,000 cp (50%), 1d6x1,000 sp (25%), 1d4x1,000 ep (25%), 1d3x1000 gp (25%), 1d8 gems (30%), 1d4 jewelry (20%) and possibly a magical weapon (10%).; BOOK: OSRIC-218
ELASMOSAURUS	FWXSW	17	5	Freq: Uncommon; #ENC: 1d2; SIZE: Large; MOVE: 150 ft swimming; AC: 6; HD: 16; ATK: 1; DMG: 4d8; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 2,000+16/hp; TRS: None; BOOK: OSRIC-230
ELEMENTAL, AIR	DG	13	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: 360 ft flying (AA: level VI); AC: 2; HD: 8, 12 or 16; ATK: See Page; DMG: 2d10; SA: See Page; SD: Hit only by +2 or better magic weapons; MR: Standard; LAIR: None; INT: Low; AL: N; XP: 900+12/hp, 2,000+16/hp or 3,650+20/hp; TRS: None; BOOK: OSRIC-272
ELEMENTAL, EARTH	DG	13	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: 60 ft; AC: 2; HD: 8, 12 or 16; ATK: See Page; DMG: 4d8; SA: See Page; SD: Hit only by +2 or better magic weapons; MR: Standard; LAIR: None; INT: Low; AL: N; XP: 900+12/hp, 2,000+16/hp or 3,650+20/hp; TRS: None; BOOK: OSRIC-272
ELEMENTAL, FIRE	DG	13	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: 120 ft; AC: 2; HD: 8, 12 or 16; ATK: See Page; DMG: 3d8; SA: See Page; SD: Hit only by +2 or better magic weapons; MR: Standard; LAIR: None; INT: Low; AL: N; XP: 900+12/hp, 2,000+16/hp or 3,650+20/hp; TRS: None; BOOK: OSRIC-272
ELEMENTAL, WATER	DG	13	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: 60 ft, 180 ft swimming; AC: 2; HD: 8, 12 or 16; ATK: See Page; DMG: 5d6; SA: See Page; SD: Hit only by +2 or better magic weapons; MR: Standard; LAIR: None; INT: Low; AL: N; XP: 900+12/hp, 2,000+16/hp or 3,650+20/hp; TRS: None; BOOK: OSRIC-272
ELEPHANT, AFRICAN	TFXTHXTS	12	13	Freq: Common; #ENC: 1d12; SIZE: Large; MOVE: 150 ft; AC: 6; HD: 11; ATK: 5; DMG: 2d8/2d8/2d6/2d6/2d6; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 1,400+14/hp; TRS: Ivory is worth 1d6x100gp per tusk. An elephant tusk is hugely encumbering.; BOOK: OSRIC-251
ELEPHANT, ASIAN	TFXTHXTS	11	13	Freq: Common; #ENC: 1d12; SIZE: Large; MOVE: 150 ft; AC: 5; HD: 10; ATK: 5; DMG: 2d8/2d8/2d6/2d6/2d6; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 1,100+13/hp; TRS: Ivory is worth 1d6x100gp per tusk. An elephant tusk is hugely encumbering.; BOOK: OSRIC-251
ELEPHANT, MAMMOTH	TFXTHXTS	14	1	Freq: Very Rare; #ENC: 1d12; SIZE: Large; MOVE: 150 ft; AC: 6; HD: 13; ATK: 5; DMG: 3d6/3d6/2d8/2d8/2d8; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 2,300+17/hp; TRS: Ivory is worth 1d6x100gp per tusk. An elephant tusk is hugely encumbering.; BOOK: OSRIC-251
ELEPHANT, MASTODON	TFXTHXTS	13	1	Freq: Very Rare; #ENC: 1d12; SIZE: Large; MOVE: 150 ft; AC: 6; HD: 12; ATK: 5; DMG: 2d8/2d8/2d6/2d6/2d6; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 1,900+16/hp; TRS: Ivory is worth 1d6x100gp per tusk. An elephant tusk is hugely encumbering.; BOOK: OSRIC-251
ELF	CFXCHXDGXPFXPHXPSXTFXTHXTS	3	5	Freq: Uncommon; #ENC: 20d10; SIZE: Medium; MOVE: 120 ft; AC: 5; HD: 1+1; ATK: 1; DMG: 1d8 or by weapon; SA: +1 to hit with pulled bow or sword; SD: See Page; MR: 90% to sleep or charm only; LAIR: 10%; INT: High; AL: CG; XP: 30+1/hp; TRS: 1d6 pp per individual. Typically elves will wear scale, ring, or chain armour and shield. They will be usually armed with spears, swords, and bows. Higher level fi ghter / magic users and fi ghter / magic user / clerics have a 10% chance per level per class to possess some sort of usable magic item.; BOOK: OSRIC-194
ERINYES (LESSER DEVIL; SHE-DEVILS)	DG	8	5	Freq: Uncommon; #ENC: 1d3 or 4d4; SIZE: Medium; MOVE: 60 ft, 210 ft flying (AA: level IV); AC: 2; HD: 6+6; ATK: 1 dagger; DMG: 2d4 + poison (see page); SA: See Page; SD: See Page; MR: 30%; LAIR: 20%; INT: Average; AL: LE; XP: 875+8/hp; TRS: If encountered in their hellish aeries, these devils may have a treasure hoard made up of 2d4x1,000 gp (40%), 1d6x10 pp (50%), 4d8 gems (55%) and 1d12 jewelry (45%).; BOOK: OSRIC-223
ETTERCAP	DGXPFXPHXPMXTFXTHXTM	7	3	Freq: Rare; #ENC: 1d2; SIZE: Medium; MOVE: 120 ft; AC: 6; HD: 5+1; ATK: 3; DMG: 1d4/1d4/1d8; SA: Poison; SD: See Page; MR: Standard; LAIR: 30%; INT: Semi-; AL: NE; XP: 150+5/hp; TRS: None; BOOK: OSRIC-273
ETTIN	CMXDGXPMXTM	11	1	Freq: Very Rare; #ENC: 1d4; SIZE: Large (13 ft + tall); MOVE: 120 ft; AC: 3; HD: 10; ATK: 2; DMG: 2d8/3d6; SA: See Page; SD: See Page; MR: Standard; LAIR: 20%; INT: Low; AL: CE; XP: 1,370+14/hp; TRS: Individual: 2d10 gp, 1d6 gems (25%), 1d4 jewelry (20%) 2 magic items; Lair: 2d6x1,000 gp (70%).; BOOK: OSRIC-204
EUPARKERIA	TFXTHXTMXTS	0	5	Freq: Uncommon; #ENC: 5d8; SIZE: Small; MOVE: 180 ft; AC: 9; HD: 1d4 hp; ATK: 3; DMG: 1d2/1d2/1d4; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 110+5/hp; TRS: None; BOOK: OSRIC-230
EXECUTIONER`S HOOD	DGXPFXPMXTFXTM	6	3	Freq: Rare; #ENC: 1; SIZE: Small; MOVE: 60 ft; AC: 6; HD: 3 to 6; ATK: 1; DMG: 1d4; SA: See Page; SD: See Page; MR: Standard; LAIR: None; INT: Semi-; AL: NE; XP: 250+4/hp; TRS: None; BOOK: OSRIC-273
EYE OF THE DEEP	SW	12	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: 60 ft swimming; AC: 5; HD: 11; ATK: 3; DMG: 2d4/2d4/1d6; SA: See Page; SD: None; MR: Standard; LAIR: 20%; INT: Very; AL: LE; XP: 3,000+16/hp; TRS: 2d6x1,000 gp (50%), 1d4x1,000 pp (40%), 4d10 gems (40%), 2d6 jewelry (35%).; BOOK: OSRIC-273
FAUN	PFXPH	6	5	Freq: Uncommon; #ENC: 2d4; SIZE: Medium; MOVE: 180 ft; AC: 5; HD: 5; ATK: 1; DMG: 2d4; SA: See Page; SD: See Page; MR: 50%; LAIR: 40%; INT: Very; AL: N; XP: 110+4/hp; TRS: 3d6x100 pp (30%), 2d10 gems (55%), 1d12 jewelry (50%), 1d12 potions (40%), 2 misc. magic items (60%).; BOOK: OSRIC-234
FISH, GIANT, GAR	FW	9	3	Freq: Rare; #ENC: 1d6; SIZE: Large; MOVE: 300 ft swim; AC: 3; HD: 8; ATK: 1; DMG: 2d10; SA: See Page; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 575+10/hp; TRS: None; BOOK: OSRIC-251
FISH, GIANT, PIKE	FW	6	3	Freq: Rare; #ENC: 1d8; SIZE: Large; MOVE: 300 ft swim; AC: 5; HD: 5; ATK: 1; DMG: 3d6; SA: Surprise on a 1-4 on 1d6; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 90+4/hp; TRS: None; BOOK: OSRIC-251
FISH, LEVIATHAN	SW	7	1	Freq: Very Rare; #ENC: 1; SIZE: Huge; MOVE: 300 ft swim; AC: 6; HD: 6; ATK: 1; DMG: 5d4; SA: Swallow whole; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 5,000+24/hp; TRS: None; BOOK: OSRIC-251
FLY, GIANT, BLOW	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	4	3	Freq: Rare; #ENC: 1d12; SIZE: Medium; MOVE: 90 ft, 300 ft flying (AA: level III); AC: 6; HD: 3; ATK: 1; DMG: 1d8+1; SA: See Page; SD: Jump; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 40+3/hp; TRS: None; BOOK: OSRIC-274
FLY, GIANT, HORSEFLY	CMXCPXPDXPFXPPXPSXTFXTMXTS	7	1	Freq: Very Rare; #ENC: 1d6; SIZE: Large (9 ft long); MOVE: 90 ft, 300 ft flying (AA: level III); AC: 5; HD: 6; ATK: 1; DMG: 2d6; SA: See Page; SD: Jump; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 165+6/hp; TRS: None; BOOK: OSRIC-274
FROG, GIANT	DGXFWXPFXPPXPSXTFXTS	3	5	Freq: Uncommon; #ENC: 5d8; SIZE: Small to Medium; MOVE: 30 ft, swimming 90 ft; AC: 7; HD: 1 to 3; ATK: 1; DMG: 1d3, 1d6 or 2d4; SA: See Page; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 10+5/hp, 30+10/hp or 50+15/hp; TRS: None; BOOK: OSRIC-251
FUNGI VIOLET	DG	4	3	Freq: Rare; #ENC: 1d4; SIZE: Small to medium; MOVE: 10 ft; AC: 7; HD: 3; ATK: 1d4; DMG: See Page; SA: See Page; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 50+f1/hp; TRS: None; BOOK: OSRIC-274
GARGOYLE	CFXCMXDGXFWXPFXPMXPSXTFXTMXTS	6	5	Freq: Uncommon; #ENC: 2d8; SIZE: Medium; MOVE: 90 ft, 150 ft flying (AA: level IV); AC: 5; HD: 4+4; ATK: 4; DMG: 1d3/1d3/1d6/1d4; SA: None; SD: +1 or better weapon to hit; MR: Standard; LAIR: 20%; INT: Low; AL: CE; XP: 155+4/hp; TRS: None; BOOK: OSRIC-274
GELATINOUS CUBE	DGXPMXTM	5	5	Freq: Uncommon; #ENC: 1; SIZE: Large (typically 10 ft cube); MOVE: 60 ft; AC: 8; HD: 4; ATK: 1; DMG: 2d4; SA: Paralyzing touch, surprise on a 1-3 on 1d6; SD: See Page; MR: See Page; LAIR: None; INT: Non-; AL: N; XP: 150+4/hp; TRS: Gelatinous Cubes will sometimes sweep up inorganic substances (including metal items such as coins, glass or ceramic items such as potion bottles, etc.). These incidental items are sometimes kept in the body of the ; BOOK: OSRIC-274
GENIE	DG	9	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: 90 ft, 240 ft flying (AA: level VI); AC: 4; HD: 7+3; ATK: 1; DMG: 2d8; SA: See Page; SD: None; MR: Standard; LAIR: None; INT: Average to high; AL: CG; XP: 350+8/hp; TRS: None; BOOK: OSRIC-275
GHAST	CHXCMXCPXDGXPHXPMXPPXPSXTHXTMXTS	5	3	Freq: Rare; #ENC: 1d6; SIZE: Medium; MOVE: 150 ft; AC: 4; HD: 4; ATK: 3; DMG: 1d4/1d4/1d8; SA: Paralyzation, Stench; SD: Standard undead immunities; MR: Standard; LAIR: 10%; INT: Very; AL: CE; XP: 195+4/hp; TRS: 1d8x1,000 cp (50%); 1d6x1,000 sp (25%); 1d4x1,000 ep (25%); d12x1,000 gp (65%); 1d6x1,000 pp (30%); 3d8 gems (50%); 2d6 jewelry (50%); a magic weapon or armour (25%); 1d4 scrolls (50%).; BOOK: OSRIC-239
GHOST	CFXCHXCMXCPXDGXPFXPHXPMXPPXPSXTFXTHXTMXTS	12	1	Freq: Very Rare; #ENC: 1; SIZE: Medium; MOVE: 90 ft hovering; AC: 0 when manifest/special; HD: 10+4; ATK: 1; DMG: Special; SA: Wither; Magic Jar; SD: Magic weapons or special metals required to hit when manifest; immune to spells when ethereal unless the caster is also ethereal.; MR: As Special Defenses; LAIR: 25%; INT: High; AL: Any E; XP: 4,200+14/hp; TRS: 1d10x1,000 cp (5%); 2d6x1,000 sp (30%); 1d6x1,000 ep (25%); 2d4x1,000 gp (25%); 2d6 gems (15%); 1d6 jewelry (20%); 1d3-1 scrolls (30%); 1d8 potions (40%); 1d4-1 any other magic items (25%).; BOOK: OSRIC-240
GHOUL	CHXCMXCPXDGXPHXPMXPPXPSXTHXTMXTS	3	5	Freq: Uncommon; #ENC: 4d6; SIZE: Medium; MOVE: 90 ft loping; AC: 6; HD: 2; ATK: 3; DMG: 1d3/1d3/1d6; SA: Paralyzation; SD: Immune to sleep and charm spells; MR: Standard; LAIR: 20%; INT: Low; AL: CE; XP: 70+2/hp; TRS: 1d8x1,000 cp (50%); 1d6x1,000 sp (25%); 1d4x1,000 ep (25%); 1d3x1,000 gp (25%); 2d4 gems (30%); 1d4 jewelry (20%); magic weapon or armour (10%); 1d4 scrolls (10%).; BOOK: OSRIC-240
GIANT, CLOUD	CHXCMXPHXPMXTHXTM	14	3	Freq: Rare; #ENC: 1d6; SIZE: Large (18 ft tall); MOVE: 150 ft; AC: 2; HD: 12+1d6+1; ATK: 1; DMG: 6d6; SA: See Page; SD: See Page; MR: Standard; LAIR: 40%; INT: Average up to very; AL: NE or NG; XP: 3,520+16/hp; TRS: 10d4x100 gp, 4d6 + 6 gems (15%), 1d8 jewelry (10%), 4 magic items (25%).; BOOK: OSRIC-202
GIANT, FIRE	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXTFXTHXTM	13	5	Freq: Uncommon; #ENC: 1d8; SIZE: Large (12 ft tall); MOVE: 120 ft; AC: 3; HD: 11+1d4+1; ATK: 1; DMG: 5d6; SA: See Page; SD: See Page; MR: Standard; LAIR: 35%; INT: Low up to average; AL: LE; XP: 2,720+16/hp; TRS: 10d4x100 gp, 1d12 gems (15%), 1d8 jewelry (10%), 4 magic items (25%).; BOOK: OSRIC-202
GIANT, FROST	CFXCHXCMXDGXPFXPHXPM	12	3	Freq: Rare; #ENC: 1d8; SIZE: Large (15ft tall); MOVE: 120 ft; AC: 4; HD: 10+1d4; ATK: 1; DMG: 4d6; SA: See Page; SD: See Page; MR: Standard; LAIR: 30%; INT: Low up to average; AL: CE; XP: 1,820+14/hp; TRS: 10d4x100 gp, 1d12 gems (15%), 1d8 jewelry (10%), 4 magic items (25%).; BOOK: OSRIC-203
GIANT, HILL	CFXCHXCMXCPXDGXPFXPHXPMXPPXPSXTFXTHXTMXTS	10	13	Freq: Common; #ENC: 1d10; SIZE: Large (10 ft 6 in tall); MOVE: 120 ft; AC: 4; HD: 8+1d2; ATK: 1; DMG: 2d8; SA: See Page; SD: See Page; MR: Standard; LAIR: 25%; INT: Low; AL: CE; XP: 1,200+12/hp; TRS: 2d10x100 gp, 1d10 gems (30%), 1d6 jewelry (25%), 3 magic items (15%).; BOOK: OSRIC-203
GIANT, STONE	CHXCMXDGXPHXPMXTHXTM	11	5	Freq: Uncommon; #ENC: 1d8; SIZE: Large (12 ft tall); MOVE: 120 ft; AC: 0; HD: 9+1d4; ATK: 1; DMG: 3d6; SA: See Page; SD: See Page; MR: Standard; LAIR: 30%; INT: Average; AL: N; XP: 1,500+14/hp; TRS: 2d10x100 gp, 1d10 gems (30%), 1d6 jewelry (25%), 3 magic items (15%).; BOOK: OSRIC-204
GIANT, STORM	CMXFWXPMXSWXTM	17	3	Freq: Rare; #ENC: 1d4; SIZE: Large (21 ft tall); MOVE: 150 ft; AC: 1; HD: 15+1d6+1; ATK: 1; DMG: 7d6; SA: See Page; SD: See Page; MR: Standard; LAIR: 30%; INT: Exceptional; AL: CG; XP: 6,000+20/hp; TRS: 10d4x100 gp, 4d6 + 6 gems (15%), 1d8 jewelry (10%), 4 magic items (25%).; BOOK: OSRIC-204
GNOLL	DGXPFXPHXPMXPPXPSXTFXTHXTMXTS	3	5	Freq: Uncommon; #ENC: 20d10; SIZE: Large; MOVE: 90 ft; AC: 5; HD: 2; ATK: 1; DMG: 2d4 or by weapon; SA: None; SD: None; MR: Standard; LAIR: 20%; INT: Low to average; AL: CE; XP: 30+2/hp; TRS: Individual 2d6 ep, 2d4 gp; Lair 1d8x1,000 cp (60%), 1d6x1,000 sp (50%), 1d8x1,000 ep (35%), 1d6x1,000 gp (50%), 5d4 gems (30%), 1d6 jewelry (25%), 2d4 potions (40%).; BOOK: OSRIC-197
GNOLL, FLIND	DGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	4	3	Freq: Rare; #ENC: 2d12; SIZE: Medium; MOVE: 120 ft; AC: 5; HD: 2+3; ATK: 1; DMG: 2d4 or by weapon; SA: Disarm; SD: None; MR: Standard; LAIR: 20%; INT: Average; AL: CE; XP: 40+4/hp; TRS: 1d6 gp per individual; in lair: 1d6x1,000 cp (30%); 1d6x1,000 sp (25%); 2d4x1,000 ep (35%); 1d10x1,000 gp (45%); 1d4x100 pp (20%); 5d8 gems (50%); 4d12 jewelry (65%); 25% chance of any 3 maps or magic.; BOOK: OSRIC-197
GNOME	CFXCHXCMXDGXPFXPHXPMXTFXTHXTM	2	3	Freq: Rare; #ENC: 40d10; SIZE: Small; MOVE: 60 ft; AC: 5; HD: 1; ATK: 1; DMG: 1d6 or by weapon; SA: See Page; SD: Save at 4 levels higher (see page); MR: See Page; LAIR: 50%; INT: Very; AL: N to LG; XP: 10+1/hp; TRS: 6d4 gp per individual.; BOOK: OSRIC-195
GOBLIN	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	0	5	Freq: Uncommon; #ENC: 40d10; SIZE: Small (4 ft tall); MOVE: 60 ft; AC: 6; HD: 1-1; ATK: 1; DMG: 1d6 or by weapon; SA: None; SD: None; MR: Standard; LAIR: 40%; INT: Average (low); AL: LE; XP: 10+1/hp; TRS: Individual 3d6 sp ; Lair 1d12x1,000 cp (75%), 1d6x1,000 sp (50%), 1d6 gems (25%), 1d3 jewelry (20%), 2d4 potions (40%).; BOOK: OSRIC-198
GOLEM, CLAY	DG	9	1	Freq: Very Rare; #ENC: 1; SIZE: Large (8 ft tall); MOVE: 70 ft; AC: 7; HD: 50 hp; ATK: 1; DMG: 3d10; SA: See Page; SD: See Page; MR: See Page; LAIR: None; INT: Non-; AL: N; XP: 2,800; TRS: None; BOOK: OSRIC-231
